"candidate","year","state","office","district","stage","special","party","writein","first_name","last_name","candidatevotes","totalvotes"
"Bill Gaylor",2012,"Florida","US Senate","statewide","gen",FALSE,"none",FALSE,"Bill","Gaylor",126079,8189946
"Bill Gelineau",2012,"Michigan","US House","3","gen",FALSE,"libertarian",FALSE,"Bill","Gelineau",10498,326283
"Bill Gibbs",1994,"California","US House","27","gen",FALSE,"american independent",FALSE,"Bill","Gibbs",4328,166774
"Bill Gillespie",2008,"Georgia","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Gillespie",83444,249334
"Bill Glass",1996,"California","US House","26","gen",FALSE,"republican",FALSE,"Bill","Glass",29332,102515
"Bill Glass",2006,"North Carolina","US House","9","gen",FALSE,"democrat",FALSE,"Bill","Glass",53437,159643
"Bill Gluba",1988,"Iowa","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Gluba",71280,185716
"Bill Gluba",2004,"Iowa","US House","1","gen",FALSE,"democrat",FALSE,"Bill","Gluba",125490,290054
"Bill Goodling",1980,"Pennsylvania","US House","19","gen",FALSE,"republican",FALSE,"Bill","Goodling",136873,180002
"Bill Goodling",1982,"Pennsylvania","US House","19","gen",FALSE,"republican",FALSE,"Bill","Goodling",101163,142950
"Bill Goodling",1984,"Pennsylvania","US House","19","gen",FALSE,"republican",FALSE,"Bill","Goodling",141196,186742
"Bill Goodling",1986,"Pennsylvania","US House","19","gen",FALSE,"republican",FALSE,"Bill","Goodling",100055,137278
"Bill Grant",1986,"Florida","US House","2","gen",FALSE,"democrat",FALSE,"Bill","Grant",110141,110766
"Bill Grant",1988,"Florida","US House","2","gen",FALSE,"democrat",FALSE,"Bill","Grant",134269,134621
"Bill Grant",1990,"Florida","US House","2","gen",FALSE,"republican",FALSE,"Bill","Grant",77939,180971
"Bill Grant",1992,"Florida","US Senate","Statewide","gen",FALSE,"republican",FALSE,"Bill","Grant",1716505,4962290
"Bill Gray",1988,"Vermont","US Senate","statewide","gen",FALSE,"democrat",FALSE,"Bill","Gray",71460,240108
"Bill Green",1980,"New York","US House","18","gen",FALSE,"republican",FALSE,"Bill","Green",91341,161200
"Bill Green",1982,"New York","US House","15","gen",FALSE,"republican",FALSE,"Bill","Green",66262,123698
"Bill Green",1984,"New York","US House","15","gen",FALSE,"republican",FALSE,"Bill","Green",107644,192048
"Bill Green",1986,"New York","US House","15","gen",FALSE,"republican",FALSE,"Bill","Green",58214,100361
"Bill Green",1988,"New York","US House","15","gen",FALSE,"republican",FALSE,"Bill","Green",107599,175483
